Year,Game,Genre,Developer(s),Award_Count
2021,Psychonauts 2,Platform,Double Fine,3.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2014,Dark Souls II,Action role-playing,FromSoftware,2.0
2015,Bloodborne,Action role-playing,FromSoftware,7.0
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog,5.0
2017,Super Mario Odyssey,Platform,Nintendo EAD,2.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Resident Evil 2,Action-adventure,Capcom,4.0
2020,The Last of Us Part II,Action-adventure,Naughty Dog,7.0
2021,Deathloop,First-person shooter,Arkane Studios,5.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2024,Astro Bot,Platformer,Team Asobi,10.0
2007,BioShock,First-person shooter,Irrational Games,6.0
2008,Wii Fit,Fitness game,Nintendo EAD,2.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2012,Journey,Adventure,Thatgamecompany,5.0
2013,BioShock Infinite,First-person shooter,Irrational Games,2.0
2015,Metal Gear Solid V: The Phantom Pain,Action-adventure,Kojima Productions,3.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Resident Evil 2,Survival horror,Capcom,4.0
2020,The Last of Us Part II,Action-adventure,Naughty Dog,7.0
2021,Resident Evil Village,Survival horror,Capcom,2.0
1999,Unreal Tournament,First-person shooter,Epic Games,2.0
2000,Deus Ex,Action role-playing,Ion Storm,2.0
2001,Grand Theft Auto III,Action-adventure,DMA Design,4.0
2003,Grand Theft Auto: Vice City,Action-adventure,Rockstar North,3.0
2004,Half-Life 2,First-person shooter,Valve,6.0
2007,Portal,Puzzle-platformer,Valve,2.0
2008,LittleBigPlanet,Puzzle-platformer,Media Molecule,2.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2013,Super Mario 3D World,Platformer,Nintendo EAD,2.0
2014,Mario Kart 8,Racing,Nintendo EAD,2.0
2015,Bloodborne,Action role-playing,FromSoftware,7.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Tetris Effect,Puzzle,Monstars Inc. and Resonair,2.0
2019,Outer Wilds,Action-adventure,Mobius Digital,6.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
1992,Street Fighter II,Fighting,Capcom,3.0
1994,Donkey Kong Country,Platformer,Rare,3.0
1995,Donkey Kong Country 2: Diddy's Kong Quest,Platformer,Rare,2.0
1996,Super Mario 64,Platformer,Nintendo EAD,2.0
1997,Final Fantasy VII,Role-playing,Square,2.0
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD,6.0
2000,Tony Hawk's Pro Skater 2,Sports,Neversoft,3.0
2002,Grand Theft Auto: Vice City,Action-adventure,Rockstar North,3.0
2003,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo EAD,2.0
2004,Halo 2,First-person shooter,Bungie,3.0
2005,Resident Evil 4,Survival horror,Capcom,8.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
2007,BioShock,First-person shooter,Irrational Games,6.0
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,8.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,Mass Effect 3,Action role-playing,BioWare,2.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Control,Action-adventure,Remedy Entertainment,5.0
2020,The Last of Us Part II,Action-adventure,Naughty Dog,7.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2002,Metroid Prime,Action-adventure,Retro Studios,5.0
2003,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo EAD,2.0
2005,Resident Evil 4,Survival horror,Capcom,8.0
2006,Gears of War,Third-person shooter,Epic Games,4.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2008,Metal Gear Solid 4: Guns of the Patriots,Action-adventure,Kojima Productions,2.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,Journey,Adventure,Thatgamecompany,5.0
2014,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions,3.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games,6.0
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware,5.0
2020,Half-Life: Alyx,First-person shooter,Valve,2.0
2021,Deathloop,First-person shooter,Arkane Studios,5.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2024,Metaphor: ReFantazio,Role-playing,Atlus,3.0
1999,Unreal Tournament,First-person shooter,Epic Games,2.0
2000,Deus Ex,Action role-playing,Ion Storm,2.0
2001,Grand Theft Auto III,Action-adventure,DMA Design,4.0
2002,Metroid Prime,Action-adventure,Retro Studios,5.0
2003,Star Wars: Knights of the Old Republic,Role-playing,BioWare,3.0
2004,Halo 2,First-person shooter,Bungie,3.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
2007,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,3.0
2008,Fallout 3,Action role-playing,Bethesda Game Studios,6.0
2009,Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward,3.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games,5.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
2008,Fallout 3,Action role-playing,Bethesda Game Studios,6.0
2009,Batman: Arkham Asylum,Action-adventure,Rocksteady Studios,2.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2012,The Walking Dead,Graphic adventure,Telltale Games,7.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Destiny,Action role-playing,Bungie,2.0
2015,Metal Gear Solid V: The Phantom Pain,Action-adventure,Kojima Productions,3.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Control,Action-adventure,Remedy Entertainment,5.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2021,Deathloop,Action-adventure,Arkane Studios,5.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2005,Resident Evil 4,Survival horror,Capcom,8.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,8.0
2009,Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward,3.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games,5.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2015,Bloodborne,Action role-playing,FromSoftware,7.0
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,8.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games,5.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions,3.0
2015,Super Mario Maker,Platformer,Nintendo EAD,2.0
2018,Tetris Effect,Puzzle,Monstars Inc./Resonai,2.0
2019,Outer Wilds,Action-adventure,Mobius Digital,6.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2021,Chicory: A Colorful Tale,Adventure,Greg Lobanov,2.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2012,Dishonored,Action-adventure,Arkane Studios,4.0
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games,5.0
2013,Super Mario 3D World,Platformer,Nintendo EAD,2.0
2014,Mario Kart 8,Racing,Nintendo EAD,2.0
2015,Bloodborne,Action role-playing,FromSoftware,7.0
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog,5.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games,6.0
2019,Outer Wilds,Action-adventure,Mobius Digital,6.0
2020,Animal Crossing: New Horizons,Life simulation,Nintendo EPD,3.0
2021,Returnal,Third-person shooter,Housemarque,3.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2024,Astro Bot,Platformer,Team Asobi,10.0
2012,Far Cry 3,First-person shooter,Ubisoft,2.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Resident Evil 2,Survival horror,Capcom,4.0
2020,Ghost of Tsushima,Action-adventure,Sucker Punch Productions,2.0
2022,God of War Ragnarök,Action-adventure,Santa Monica Studio,2.0
2023,Alan Wake 2,Survival horror,Remedy Entertainment,3.0
2024,Astro Bot,Platformer,Team Asobi,10.0
2001,Halo: Combat Evolved,First-person shooter,Bungie,3.0
2002,Battlefield 1942,First-person shooter,Digital Illusions CE,2.0
2003,Star Wars: Knights of the Old Republic,Role-playing,BioWare,3.0
2004,Half-Life 2,First-person shooter,Valve,6.0
2005,God of War,Action-adventure,Santa Monica Studio,18.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2008,Fallout 3,Action role-playing,Bethesda Game Studios,6.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2012,Journey,Adventure,Thatgamecompany,5.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Control,Action-adventure,Remedy Entertainment,5.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2024,Metaphor: ReFantazio,Role-playing,Atlus,3.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,8.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games,5.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Alan Wake 2,Survival horror,Remedy Entertainment,3.0
2024,Astro Bot,Platformer,Team Asobi,10.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,Mass Effect 3,Action role-playing,BioWare,2.0
2014,Alien: Isolation,Survival horror,Creative Assembly,2.0
2015,Metal Gear Solid V: The Phantom Pain,Action-adventure,Kojima Productions,3.0
2016,Dishonored 2,Action-adventure,Arkane Lyon,2.0
2019,Disco Elysium,Role-playing,ZA/UM,2.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2024,Balatro,Roguelike deck-building,LocalThunk,4.0
2012,The Walking Dead,Graphic adventure,Telltale Games,7.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Outer Wilds,Action-adventure,Mobius Digital,6.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2021,Inscryption,Roguelike,Daniel Mullins Games,2.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2024,Balatro,Roguelike deck-building,LocalThunk,4.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2011,Batman: Arkham City,Action-adventure,Rocksteady Studios,2.0
2012,The Walking Dead,Graphic adventure,Telltale Games,7.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Alien: Isolation,Survival horror,Creative Assembly,2.0
2015,Bloodborne,Action role-playing,FromSoftware,7.0
2016,Dishonored 2,Action-adventure,Arkane Studios,2.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games,6.0
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware,5.0
2020,The Last of Us Part II,Action-adventure,Naughty Dog,7.0
2021,Deathloop,First-person shooter,Arkane Studios,5.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2006,Wii Sports,Sports,Nintendo EAD,2.0
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,8.0
2009,Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward,3.0
2013,Grand Theft Auto V,Action-adventure,Rockstar North,4.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2022,God of War Ragnarök,Action-adventure,Santa Monica Studio,2.0
2023,Alan Wake 2,Survival horror,Remedy Entertainment,3.0
2015,Super Mario Maker,Platform,Nintendo EAD,2.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games,6.0
2019,Disco Elysium,Role-playing,ZA/UM,2.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2008,Fallout 3,Action role-playing,Bethesda Game Studios,6.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,Batman: Arkham City,Action-adventure,Rocksteady Studios,2.0
2012,The Walking Dead,Graphic adventure,Telltale Games,7.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
